LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID75758,75758,37,8.944595336914062,746.4492204438562,787.2792369225439,0.0,43.0,43,5.0,1,,78.14432989690722,73.0,33.0,135.0,7580.0,24.680453505220832,0.35128537209504984,1.6462179074293861,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID75887,75887,37,9.706207275390625,749.8642365065101,793.3727027891559,0.0,44.0,44,5.0,1,,89.96907216494846,87.0,46.0,145.0,8727.0,25.58582518059211,0.3327384310306512,1.7558275227965827,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID75530,75530,37,8.40118408203125,753.1840969123717,798.1451180068882,0.0,45.0,45,5.0,1,,80.09278350515464,76.0,43.0,141.0,7769.0,23.18722819886827,0.315818926795481,1.6581223416333777,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID76019,76019,37,8.276397705078125,757.6336996513974,802.2717210606706,0.0,46.0,46,5.0,1,,75.17525773195877,70.0,37.0,132.0,7292.0,24.688480068849223,0.3324288004189033,1.5193757786171247,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID76137,76137,37,8.569328308105469,760.6969029844491,804.7945157802616,0.0,47.0,47,5.0,1,,76.15463917525773,70.0,34.0,133.0,7387.0,24.7459340962416,0.35469403814900347,1.6115180626109151,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID76503,76503,37,8.383964538574219,763.6392228532143,808.2172277206663,0.0,48.0,48,5.0,1,,75.64948453608247,70.0,30.0,124.0,7338.0,25.154125422546418,0.3370277643219539,1.5161843183006154,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID76618,76618,37,9.424728393554688,767.6502994934829,810.4696036548778,0.0,49.0,49,5.0,1,,76.28865979381443,71.0,30.0,137.0,7400.0,26.50037686952403,0.3658759664509126,1.5422704947662622,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID76382,76382,37,9.025047302246094,771.0091158629737,811.9165668085252,0.0,50.0,50,5.0,1,,75.72164948453609,64.0,41.0,131.0,7345.0,25.14696066295472,0.363510579457016,1.605547290597265,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID76258,76258,37,8.683509826660156,776.3375733239251,813.3816964047145,0.0,51.0,51,5.0,1,,73.9278350515464,65.0,38.0,135.0,7171.0,26.700205766482558,0.33830169496246576,1.3998242774778453,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID76744,76744,37,8.598247528076172,779.5103114592333,815.3168772438219,0.0,52.0,52,5.0,1,,73.20618556701031,68.0,37.0,132.0,7101.0,25.763725364813595,0.36361994840928635,1.5153866884427245,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID76968,76968,37,8.995231628417969,786.772874139522,815.6965450666977,0.0,53.0,53,5.0,1,,79.0,74.0,37.0,131.0,7663.0,24.996249718707805,0.37583260226792736,1.7266769314155033,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID76850,76850,37,8.157630920410156,792.1925391620002,815.0588627278613,0.0,54.0,54,5.0,1,,70.3298969072165,62.0,27.0,125.0,6822.0,24.94482313088084,0.3443748345539575,1.4444435727397198,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID77094,77094,37,8.639793395996094,797.7939842943559,814.2894504993853,0.0,55.0,55,5.0,1,,72.65979381443299,65.0,36.0,127.0,7048.0,25.12091036282413,0.3659951908300338,1.5499403745748976,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
